fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Treasurer's cash as of 6/30/2022,TOWN OF LUNENBURG / Treasurer's Cash as of 6/30/2022,40,"Every bank account and investment the Town holds, by institution and purpose, with its 30 June balance.",One bank account.,(account name) | (balance),"Two-column list, one account per line, clean.","Total Treasurer Cash as of 06/30/2022 $25,356,164.66",39,clean,"New accounts versus FY2021 that are worth noticing: 'Unibank ARPA CLFRF Fund $1,754,181.32' (the Town's American Rescue Plan Coronavirus State and Local Fiscal Recovery Funds sitting as cash), 'Bartholomew - Health Insurance Stabilization $372,940.88', 'Unibank Linde Sacksen Scholarship Fund', 'Main Street Bank-Water Enterprise'. Total cash rose from $20,477,756.00 to $25,356,164.66 year on year.",cash treasurer
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Trust funds held by Bartholomew & Company, FY2022",TOWN OF LUNENBURG / TRUST FUNDS / BARTHOLOMEW & COMPANY / FISCAL YEAR 2022 SUMMARY,41-42,"Every trust and stabilization fund held with the Town's investment manager - cemetery, conservation, library, scholarship, miscellaneous, stabilization and general funds - showing beginning market value and principal, income, realized and unrealized gain/loss, transfers, ending cash value and ending market value.","One named trust fund, with subtotal rows per fund family.",ACCOUNT NUMBER | FUND NAME | FY 2022 BEGINNING MARKET VALUE | FY 2022 BEGINNING PRINCIPAL | FY 2022 BEGINNING EARNINGS | FY 2022 NET INCOME | FY 2022 REALIZED GAIN/LOSS | FY 2022 NET EARNINGS | FY 2022 TRANSFERS OF PRINCIPAL | FY 2022 TRANSFERS OF EARNINGS | FY 2022 ENDING PRINCIPAL | FY 2022 ENDING EARNINGS | FY 2022 ENDING CASH VALUE | FY 2022 CHANGE IN UNREALIZED GAIN/LOSS | FY 2022 UNREALIZED GAIN/LOSS | FY 2022 ENDING MARKET VALUE,"Very wide landscape table printed 'Page 1 of 2' and 'Page 2 of 2'. OCR emitted it COLUMN-BY-COLUMN - one long line per column, with the fund-name column last as a run-together string. The exact reverse of how FY2021's equivalent table came out.","Family subtotals are present; grand totals appear on p42 as the trailing figures on each column line (e.g. ending market value column ends $4,643,129.40 / $4,714,782.73).",45,not without geometry,"STRUCTURAL DIFFERENCE FROM FY2021: FY2021 printed ONE table called 'TRUST AND OPEB FUNDS' with ten columns; FY2022 splits the same money into TWO tables - this one (Bartholomew & Company, sixteen columns, with realized and unrealized gain/loss separated) and a second one on p43 for funds held elsewhere. The column set is not the same year to year, so a two-year comparison must be built column by column. Note also that FY2022's column header line reads 'FY 2027 ENDING MARKET VALUE' on p42 - an OCR misread of FY 2022, not a real column.",bartholomew company funds held
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Trust and stabilization funds held by other banks, FY 2022",TOWN OF LUNENBURG / TRUST AND STABILIZATION FUNDS HELD BY OTHER BANKS FY 2022 / FISCAL YEAR 2022 SUMMARY,43,"The trusts and stabilization funds NOT held with Bartholomew - MMDT accounts, Unitil stock holdings, TD BankNorth zoning stabilization, sewer stabilization funds, the vehicle/equipment stabilization fund - with beginning principal, net earnings, transfers, expenditures and ending market value.",One named fund.,ACCOUNT NUMBER | FUND NAME | FY 2022 BEGINNING PRINCIPAL | FY 2022 NET EARNINGS | FY 2022 TRANSFERS OF PRINCIPAL | FY 2022 EXPENDITURES | FY 2022 ENDING CASH VALUE | FY 2022 CHANGE IN UNREALIZED GAIN/LOSS | FY 2022 UNREALIZED GAIN/LOSS | FY 2022 ENDING MARKET VALUE,"One page, column-by-column OCR as above.","Ending market value column totals $1,796,165.08 (of which Vehicle/Equipment Stabilization is $1,457,123.63); beginning principal total $1,562,705.78.",10,messy,"Account numbers are printed and legible (8111, 8126, 8116, 8114, 8129, 8132, 8133, 8135, 8136), which makes the row order recoverable. Two of these funds are shares of Unitil STOCK ('MABEL ALLEN UNITIL STOCK #20376', 'JOSEPH HARWOOD UNITIL STOCK') - the Town holds equity in the local utility inside two nineteenth-century bequests. FY2021 has no equivalent separate table.",banks funds held other
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Five years outstanding debt,FIVE YEARS OUTSTANDING DEBT,44,"Principal outstanding by debt purpose for five fiscal years (2022 back to 2018), split inside and outside the general debt limit, plus short-term debt, plus a list of authorised-but-unissued debt.",One debt purpose x five year-columns.,(purpose) | 2022 | 2021 | 2020 | 2019 | 2018,"Six-column table in a clean text layer, one purpose per line.","Total Within the General Debt Limit 6,985,885 / 9,067,107 / 11,256,659 / 12,390,349 / 14,503,713. Total Outside the General Debt Limit 31,763,200 / 32,818,200 / 33,853,200 / 34,178,200 / 35,158,609. Total Long-Term Indebtedness $38,749,085 / $41,885,307 / $45,109,859 / $46,568,549 / $49,662,322. Total Short-Term Indebtedness 457,497 / 609,996 / 1,262,495 / 2,100,000 / 2,242,270. Total Outstanding Indebtedness $39,206,582 / $42,495,303 / $46,372,354 / $48,668,549 / $51,904,592. Footnote: '(1)Principal amount only. Excludes lease and installment purchase obligations, overlapping debt and unfunded pension liability.'",22,clean,"THE MOST USEFUL SINGLE PAGE FOR TIME SERIES IN EITHER DOCUMENT. It carries five years of debt by purpose in clean text and the 2021 column ties exactly to the FY2021 report's own totals. The $38,749,085 long-term figure also ties to the balance sheet's GENERAL OBLIGATION LONG TERM DEBT on p24. The authorised-unissued list runs School Feasibility Study Bond, School Construction, Land Acquisition, Sewer Construction x2, Pavement Management Plan, Artificial Turf Field & Track, Ladder Truck-Fire Department - all with a dash (nil) in the amount column.",debt five outstanding years
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Debt repayment schedule as of June 30, 2022","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2022",45-48,"Year-by-year principal, interest and (for MWPAT loans) admin fee due on every outstanding bond issue, from FY2023 out to FY2047, with grand-total rows.","One fiscal year, across a repeating PRINCIPAL / INTEREST / ADMIN FEE / TOTAL block for each bond issue.",FISCAL YEAR | MUNICIPAL PURPOSE (PRINCIPAL / INTEREST / TOTAL) | MASS WATER POOL 9* (PRINCIPAL / INTEREST / ADMIN FEE / TOTAL) | MASS WATER POOL 13* (...) | (further issue blocks),"Four landscape pages: p45 = per-issue detail FY2023-FY2037; p46 = grand totals for that range; p47 = per-issue detail FY2038-FY2047; p48 = grand totals for that range. OCR emitted one line per FISCAL YEAR (a row), with the column headers as one long trailing line - the transpose of FY2021's version, and materially more usable.","TOTAL DEBT row on p46: $2,537,578 / $2,507,592 / $2,470,851 / $2,342,050 / $2,332,684 / $2,303,500 / $2,153,846 / $2,151,996 / $2,153,553 / $2,011,200 / $1,946,456 across the years; p48 carries GRAND TOTAL PRINCIPAL, GRAND TOTAL INTEREST, GRAND TOTAL PRINCIPAL & INTEREST, GRAND TOTAL MWPAT ADMIN FEES and TOTAL DEBT rows for the later years (values largely did not OCR on p48).",25,messy,"Substantially better than FY2021's version of the same schedule and should be the reference copy for both years. Debt runs to FY2047, twenty-five years out. Note p48's grand-total block came out almost entirely empty - the year labels are there and the figures are not.",debt june repayment
2022,FY2022,4129-fy-2022-annual-town-report.pdf,FY2022 collection of taxes - receivables summary,"TOWN OF LUNENBURG / FY2022 COLLECTION OF TAXES / RECEIVABLES SUMMARY / JUNE 30, 2022",49-51,"The tax collector's receivables roll-forward for every levy year and receivable type: opening balance, commitments, abatements, payments, refunds, transfers, adjustments, closing balance.",One receivable category x one levy year.,FISCAL YEAR | FORWARD | COMMITTMENTS | ABATEMENTS | PAYMENTS | REFUNDS | TRANSFER | ADJUSTMENTS | BALANCES,"Three pages, printed 'of 3' at the foot. OCR emitted these COLUMN-BY-COLUMN, one long line per column with the fiscal-year labels last - the reverse of FY2021's version of the same table, which came out row-wise.","Page 51 grand-total column ends: FORWARD $8,057,994.74 / COMMITTMENTS $48,143,656.17 / ABATEMENTS ($341,365.75) / PAYMENTS ($34,581,774.38) / REFUNDS $87,442.18 / TRANSFER ($14,704,874.22) / BALANCES $6,661,085.84",110,messy,"Header spelling on the page is 'COMMITTMENTS' - keep verbatim. Because the two years transposed differently in OCR, cross-checking a levy line between FY2021 and FY2022 means re-deriving it from two differently-broken extracts; the closing balance in FY2021 should equal the opening in FY2022 for each line, which is the check to run.",collection receivables taxes
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Building department permits issued, FY2022",In fiscal year 2022 the following permits were issued:,54,Count of permits issued by type.,One permit type.,(count) | (permit type),"Short list, one type per line.","1,136 total permits issued",5,clean,"620 Building, 282 Electrical, 107 Plumbing, 127 Gas. 620+282+107+127 = 1,136 - the printed total ties. FY2021 gives no equivalent count list; its permit activity has to be inferred from the receipts page instead.",building department issued permits
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Cemetery interments 2022,CEMETERY DEPARTMENT - 2022 / List of people interred this year.,55,"Every person interred in the town cemeteries in 2022, by month, with age, cemetery, a cremation marker and a bracketed war for veterans.",One interment.,NAME | AGE | CEMETERY | NAME | AGE | CEMETERY,"Two side-by-side month-grouped columns; the text layer reads across, so most lines carry one entry from each column.",Full burials 11; *Denotes Cremations 32; Total 44,44,clean,"11 + 32 = 43, not the printed 44 - the page's own arithmetic is off by one, or one row is uncounted. Worth recording because FY2021's version of the same total (Total 46 against Full burials 37) also fails to reconcile in the extract. Veteran markers present: (Korea), (Vietnam), (Peace Time). Cemetery lot codes appear as 'N/W East#61'. One entry is 'Ava Vicente 0 North' - an infant.",cemetery interments
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Facilities and properties maintained by the DPW,The following is a list of buildings and properties maintained by the DPW:,62,Inventory of the Town buildings and parks the DPW's facilities division looks after.,One building or property.,,Three-column list in a clean text layer.,,15,clean,"Town Hall, Ritter Building, Public Safety Complex, Public Library, The Eagle House, DPW Facility, Teen Center, Old Primary School, Town Beach House and Beach, Town Center Park, Veterans Memorial Park, Gazebo Park, Marshall Park, Fitzgerald Field, McNally Field. Carries a printed note: 'the former Parks Maintenance Building at 23 West Street was sold by the Town.' The page also lists the five FY2022 capital projects the division was executing, which cross-references the capital fund table on p38.",dpw facilities maintained properties
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Library programme and participation statistics,Adult Services Notes / Children's Service Notes / Teen Services Notes,66-68,"Counted library activity for FY2022: reading-challenge participants, minutes read, badges, programme counts and attendance for adults, children and teens.",One counted quantity.,,"Bulleted statistics inside narrative, not a table.",,12,clean,"Figures: 66 adult readers across 4 challenges, 245,733 minutes read, 683 badges; 105 adult programmes with 1,040 attendees, 13 of them virtual, 9 take-home kits; 117 children's programmes with 2,409 attendees; 221 children registered for summer reading with 57 programmes and 1,240 attendees. Comparable FY2021 figures (87 participants, 924 badges, 178,880 minutes) are on FY2021.txt p68. No circulation figures in either year.",library participation programme statistics
2022,FY2022,4129-fy-2022-annual-town-report.pdf,PEG Access Enterprise Fund FY22 revenue vs expenses and line-item expenses,FY22 REVENUE vs EXPENSES / FY22 LINE ITEMS AS A PERCENTAGE,72,"Two stacked tables: the PEG enterprise fund's revenue and expenses for the year, and its expenses broken out by line item in dollars and as a percentage of total expense.",One revenue or expense line; then one expense line item.,Line Item | Expenses | % of Expense,"Two small tables, one row per line, clean text layer.","Revenue (from Comcast) $199,956.37; Enterprise Interest $3,565.40; Revenue Total $203,521.77; Expenses $127,191.05; TOTAL $76,330.72. Expense breakdown Total $127,191.05 = 100.00%.",17,clean,"Line items: Salaries $51,146.74 (40.21%), Purchase of Services $1,134.00 (0.89%), Consultant $720.00 (0.57%), Lease (Paid to the Town) $6,000.00 (4.72%), Office Supplies $0.00, Advertising $65.00 (0.05%), Equip/maintenance $11,446.21 (9.00%), New Equip $14,187.82 (11.15%), Videographers $25,516.28 (20.06%), Indirect Costs $16,975.00 (13.35%). NOTE the structure changed from FY2021: FY2021's version included a 'Starting Balance' line inside the revenue block and produced a different TOTAL basis, so the two years' 'TOTAL' figures are not like for like. Expenses rose from $92,823.26 to $127,191.05 while Comcast revenue was flat ($196,331.78 to $199,956.37).",access enterprise expenses fund
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Senior property tax work-off programme parameters and participation,"SENIOR PROPERTY TAX WORK-OFF PROGRAM / JANUARY 1, 2022 - NOVEMBER 1, 2022",73-74,"The programme's terms - maximum abatement, hourly rate, income eligibility thresholds - and the list of departments the eight participants worked in.",One eligibility rule; one department.,,"Bulleted list, clean.",eight residents participated,12,clean,"2022 abatement maximum $1,500, applied to the third-quarter real estate bill; hourly rate $15.00; income limits $50,000 (one-person household) and $75,000 (two-person). FY2021 has the same programme described on its p75 but without these figures broken out.",off parameters participation programme
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Nashoba Associated Boards of Health service counts,Food Service Licensing and Inspections / Recreational Permitting and Inspections / Housing & Nuisance Investigation / Title 5 related work - On-site Sewage Disposal / Private Well related services / Nashoba Nursing Service & Hospice,81,Counts of Nashoba's environmental-health and nursing work in Lunenburg for the year.,One service type.,(service) | (count),Counts printed on their own lines beneath their headings; clean text layer.,,15,clean,"Food Service Licensing and Inspections 39; Recreational Permitting and Inspections 54; Housing & Nuisance Investigation 17; 50 soil-test applications and 147 tests witnessed; 54 applications and 91 plans reviewed; 58 sewage disposal permits prepared (32 new construction, 26 replacement of failed systems); 150 construction inspections; 78 Title 5 inspection reports reviewed; 20 well permits; Nursing Visits 670; Home Health Aide Visits 61; Rehabilitative Therapy Visits 643. Carries a printed COVID caveat: '(Due to COVID-19, clinics were limited in 2022)'. FY2021's equivalent counts exist but their labels did not OCR.",associated boards counts health
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Communicable disease case counts and immunisation clinic figures,Communicable Disease Number of Cases:,82,"Reportable-disease counts for Lunenburg for calendar 2022, plus clinic and vaccination counts for the Nashoba district and for Lunenburg specifically.",One disease; then one clinic/vaccination statistic.,(disease) | (number of cases),"Leader-dotted list, one disease per line, clean.",,12,clean,"Babesiosis 1; Campylobacteriosis 2; Group A Streptococcus 1; Human Granulocytic Anaplasmosis 4; Influenza 150; SARS-CoV-2 (COVID-19) 976. Plus: 119 latent TB cases monitored district-wide and 2 active TB cases; 159 well-adult clinics district-wide including 10 in Lunenburg; 2,130 flu shots district-wide including 98 to Lunenburg residents; 509 district community members vaccinated for COVID-19 in calendar 2022. THIS IS THE ONE PLACE IN EITHER REPORT WITH A CLEAN COVID CASE COUNT - FY2021's equivalent line survives OCR only as a bare '1105'.",case clinic communicable counts
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Fire department calls for service 2022,"In 2022, your Fire Department responded to 1990 calls for service, broken down as follows:",84,Fire department call volume split by call type.,One call type.,(call type) | (count),"Two label/value pairs per line, clean.",1990 calls for service,4,clean,"Fires, Alarms & Hazardous Conditions 385; Emergency Medical 1143; Inspections 446; Other 16. 385+1143+446+16 = 1990, so the printed total ties. Page also states this is 'a 14% increase in emergency calls for service over 2021'. FY2021's report gives no call-volume table at all - only narrative.",calls department fire service
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Fire department roster 2022,Roster of the Lunenburg Fire Department- 2022,85,"Every member of the department by rank and certification, grouped into Chief/Deputy, career firefighters by shift (A/B/C), administrative staff and call firefighters.",One firefighter.,A Shift | B Shift | C Shift,"Three-column shift roster; the text layer reads across, three names per line.",,45,clean,The '+' and '*' markers on names carry meaning that the printed key does not fully explain in the extract. Much cleaner than FY2021's version of the same roster.,department fire roster
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Police department personnel roster,Department Personnel:,87-88,"Every sworn officer and civilian staff member by bureau and shift, including reserve officers.",One officer or staff member.,,"Grouped single-column list, one name per line, clean.",,25,clean,"Bureaus: Administration, Patrol (Day/Evening/Night/Split), Traffic, Investigative, Community Policing; K9 Jerry and comfort dog Hank are both named. Reserve officers listed separately on p88.",department personnel police roster
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Police statistical information 2022,2022 Statistical Information:,89,"Annual activity counts: calls for service, motor vehicle stops and citations, arrests, accidents, domestic violence, mental health incidents, firearms licensing, animal control.","One counted category, with indented sub-categories.",(category) | (count),"Two-column indented list, one row per line, clean.","Total calls for service thru December 31, 2022: 27,156",26,clean,"27,156 calls; 3,572 MV stops (89 civil citations, 1340 warnings, 189 criminal-offence citations, 46 MV arrests); 400 arrests (134 custody, 261 summons, 5 protective custody); 307 accidents (74 with injury, 197 without, 36 hit and run); 77 domestic violence incidents (22 arrest/summons, 36 restraining orders); 69 mental health incidents (29 attempted/threat of suicide, 40 evaluations); 222 firearms licensing (210 LTC Class A, 11 FID, 1 sell ammunition); 205 animal control (11 dog bites). Directly comparable to FY2021 p92, and the category set is identical - one of the few clean two-year series available. Page 90 adds report counts (1,777 written reports; 434 IBR/NIBRS; 483 other), use-of-force incidents (9, same as 2021), motor vehicle pursuits (5, same as 2021), and NVRDD regional dispatch volumes (89,900 calls district-wide, 32,067 for Lunenburg, 10,989 9-1-1 calls, 3.5 second average answer time).",information police statistical
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Fiscal Year 2023 capital plan (Capital Planning Committee report),CAPITAL PLANNING REPORT / Fiscal Year 2023 Capital Plan,94,"The prioritised capital plan recommended for approval at Annual Town Meeting: each project with Town Manager priority, Capital Planning Committee priority, Collins scoring points, CIP number, department, project name, category and projected cost, plus a funding breakdown.",One capital project request.,TM Priority # | CPC Priority # | Collins Pts | CIP# | Dept. | Project Name | Category | FY 23 Projected,"Eight-column table with a clean text layer; one project per line with the amount in a trailing '$' suffix format ('150,000.00$').","$2,162,849.00. Funding: Raise & appropriate 967,725.00; Free cash 983,034.39; Unexpended Capital 212,089.61; Premium Reserved for Capital (blank); Special Purpose Stabilization Account (blank); Total Available Funding 2,162,849.00; Surplus/(Shortfall) -",23,clean,"Richer than FY2021's capital plan: this one carries a 'Collins Pts' scoring column (Collins Center prioritisation points) that FY2021's table does not have, and it names both the Town Manager's and the Committee's priority orders separately so the two can be compared. Narrative above the table gives the funnel: 31 projects prioritised, 1 removed for want of a cost estimate, 1 deferred to FY24, 29 remaining totalling $3,861,049, of which the Town Manager recommends 23 totalling $2,162,849. The plan is also referenced (but NOT reprinted) inside the town meeting excerpts at p142 - the opposite of FY2021, which printed the table twice.",capital committee plan planning
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Lunenburg Public Schools enrollment by grade and school,,102,"Student headcount by grade with per-school subtotals, split into resident students and school-choice students.","One grade level, plus subtotal rows.",Grade Level | Lunenburg Resident Students | School Choice Students | Total,"Four-column table with a clean text layer, one grade per line.","All Schools Total 1577 resident / 26 choice / 1603 total. Subtotals: Primary Total 393, Elementary Total 360, Middle School Total 382, High School Total 437/26/463, Advanced Community Experience Program 5.",20,clean,"The clean version of a table FY2021 prints without column headings, so this page is the key to reading FY2021's p103 (1564 resident + 23 choice = 1587). All school-choice students are in the high school - zero in every grade below 9. Note the Special Services narrative on p104 cites a total student population of 1,593 as of 1 March 2022, which does not equal the 1,603 on this page; the two counts are taken on different dates and from different reports.",enrollment grade public school
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Special education indicator figures (DESE Indicators 1-14),Special Services Department (data taken from 2021-2022 school year),104-105,"Lunenburg's rate against the state target and state rate for each of DESE's fourteen special education indicators, plus counts of students with disabilities, out-of-district placements and 504 plans.","One indicator, with Lunenburg rate, state target and state rate, and the prior year's figure in parentheses.",,"Narrative paragraphs, one per indicator, with the figures inline. Not a table.",,14,messy,"Data worth extracting even though it is prose: 211 students with disabilities (251 last year), 13.2% of 1,593 students (15.9% last year), state average 19.4%; 8 students placed outside the district (12 last year) - 4 collaborative, 2 day, 2 residential; ACE programme 3 students; 130 students on 504 plans (146 last year). Indicator 1 graduation rate for students with IEPs 55.6% against a state target of 76.33% and a state rate of 80.4% - a sharp fall from 86.7% the year before. Indicator 5 educational environments: Full Inclusion 70.0%, Partial 9.2%, Substantially Separate 14.6%, Separate/Residential 6.3%. The page states that because of COVID most districts including Lunenburg received no accountability determination in 2022.",dese education figures indicator
2022,FY2022,4129-fy-2022-annual-town-report.pdf,School food service staff list,Lunenburg School Food Service,107,"Food service director, cook/managers and general workers.",One employee.,(role) | (name),"Centred grouped list, clean.",,13,clean,"The narrative alongside records that the Massachusetts legislature funded universal free school meals for 2022-2023 regardless of household income, and that the end of the non-congregate meals waiver forced the district to stop grab-and-go lunches on early release days.",food school service staff
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Lunenburg Primary School staff roster,,109,"Every member of staff at the primary school by team - central office, pre-school, Achieve, kindergarten, grades, special education, specialists.",One staff member with role.,,"Two-column roster; the text layer reads across, one name from each column per line.",,60,clean,NO HEADING. Any heading-driven sweep misses this page entirely - the same trap as FY2021.,primary roster school staff
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Primary School Council membership,Members of the Council for the 2022-2023 school year are:,108,"The school council: principal, assistant principal, teacher members, parent members and the School Committee representative.",One member (or member group).,(role) | (names),"Label/value lines, clean.",,5,clean,FY2021 does not print school council membership.,council membership primary school
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Turkey Hill Elementary School staff roster,,112,"Every member of staff at the elementary school with role, team colour (Blue/White/Red) and room number, covering administration, health, special areas, grades 3-5, learning centre/special education, Achieve and paraprofessionals.",One staff member.,(name) | Title | (name) | Title/Team,Four columns reading across; the text layer preserves the row structure so name-to-role pairing survives.,,60,messy,NO HEADING - FY2021 printed 'THES STAFF ROSTER' over the same roster; FY2022 dropped the heading. This is exactly the kind of year-to-year inconsistency that makes heading-driven extraction fail on one year and succeed on the other.,elementary hill roster school
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Turkey Hill discipline referrals and suspensions,,111,Two-year comparison of discipline referrals and suspensions for the September-December period.,One period.,,Inline in prose.,,2,clean,"September-December 2021: 83 discipline referrals, 7 suspensions. September-December 2022: 53 referrals, 4 suspensions. The page attributes the 36% fall to PBIS - that attribution is the school's, not a measured finding.",discipline hill referrals suspensions
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Lunenburg Middle School Spring 2022 MCAS scores,Spring MCAS Score,113,"Percentage of LMS students meeting or exceeding expectations, against state expectations, for seven grade/subject combinations.",One grade and subject.,(grade and subject) | % Meeting or Exceeding | % State Expectations,"Three-column table, one row per line, clean.",,7,clean,"Grade 6 ELA 42/41; Grade 6 Math 53/42; Grade 7 ELA 49/41; Grade 7 Math 43/37; Grade 8 ELA 40/42; Grade 8 Math 46/39; Grade 8 Sci/Tech/Eng 64/42. FY2021's equivalent has only grades 7 and 8 (no grade 6) and its column labels did not OCR, so the two years are not directly stackable without checking the FY2021 source page.",mcas middle school scores
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Lunenburg High School Spring 2022 MCAS results,MCAS RESULTS / Lunenburg High School - Spring 2022 MCAS Results (Grade 10),115,"Grade 10 MCAS percentage exceeding or meeting expectations, LHS against the state average.",One subject.,Subject Test | Exceeding Expectations / Meeting Expectations | State Average (EE/ME),"Three-column table, clean.",,2,clean,ELA 68% against a state average of 58%; Math 63% against 50%. Page also records 29 students receiving the John and Abigail Adams Scholarship. This clean table is the key to reading FY2021's unlabelled '84% 64% 78% 52%' on FY2021.txt p119.,high mcas results school
2022,FY2022,4129-fy-2022-annual-town-report.pdf,LMHS athletics participation and results,,116,"Fall season athletics: number of teams, participation rate, middle-school roster sizes, and a per-sport list of results and honours.",One sport.,,Narrative with a per-sport bullet list.,,7,clean,"11 fall teams; 48% of high school students played at least one; the two middle-school programmes had rosters of 30 and 34. Per-sport results given for Girls and Boys Cross Country, Football, Girls and Boys Soccer, Field Hockey. FY2021 has a comparable narrative but no participation percentage.",athletics lmhs participation results
2022,FY2022,4129-fy-2022-annual-town-report.pdf,2022-2023 LMHS staff roster,2022 - 2023 LMHS Staff Roster,117-119,"Every member of the combined middle/high school staff by department and team - administration, behaviourist, health office, guidance, English, World Language, History, Math, Science, Special Education (high school and middle), and grade teams 6, 7 and 8.","One staff member, surname-first, with 'DH' marking a department head.","(department) | (surname, forename - role)","Two-column roster over three pages; text layer reads across, clean enough that the department-to-name mapping survives.",,110,messy,"The heading appears ONLY on p117; pp118-119 continue the same roster with no repeated heading. Note the roster is for the 2022-2023 school year while the rest of the report covers FY2022 (July 2021-June 2022) - the staff list is a year ahead of the finances. FY2021 split this into two separate unheaded rosters (LMS on its p118, LHS on its p121); FY2022 merged them into one 'LMHS' roster, so the two years are not structurally comparable.",lmhs roster staff
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Monty Tech member towns,,122,The sixteen member towns of the Montachusett Regional Vocational Technical School District.,One member town.,,"Three-column list, clean.",,16,clean,"Barre, Athol, Fitchburg, Gardner, Harvard, Holden, Hubbardston, Lunenburg, Petersham, Phillipston, Princeton, Royalston, Sterling, Templeton, Westminster, Winchendon. Ashburnham and Ashby appear in the FY2021 enrollment chart but not in this FY2022 list - worth checking against the source before treating the list as complete.",member monty tech towns
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Monty Tech budget figures and expense breakdown (chart did not extract),Expenses for the 2021-2022 school year include:,123,"The Monty Tech district's FY2022 Educational Plan total and grant funding, given in prose, followed by a heading introducing an expense breakdown whose chart or table produced NO text at all.",One expense category (unrecoverable).,,"Two paragraphs of prose, then a heading, then nothing - the page has only 13 text lines, so whatever follows the heading is an image.","FY2021-2022 Educational Plan $28,605,425, a 0.73% decrease on the 2020-2021 plan; exceeds the Chapter 70 minimum spending requirement by $203,320 or 0.78%; state and federal grants provided $2,927,860.",0,not without geometry,"Record this as a KNOWN GAP, not as absent data. The page explicitly promises an expense breakdown and the extract has none. Grants named in the prose: Elementary and Secondary Schools Emergency Relief Funds (the COVID ESSER money), Improving Teacher Quality, Special Education Services and Program Improvement, Title I, Perkins Occupational Education, Vocational Capital Equipment Initiatives, Life Sciences, Student Support and Academic Enrichment, Marine Corps Junior Reserve Officer Training. A second unextracted chart sits on p124 (student applications/enrollment trend) and a third on p125 area (AP participation, given in prose instead: 120 students, 162 exams, 82 eligible for credit, 68.33%).",breakdown budget chart did
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Monty Tech district committee membership,,137,"The twenty-two members of the Monty Tech District School Committee, each with their town, plus the officers.",One committee member.,(name) | (town),"Centred list, one member per line, clean.",twenty-two dedicated individuals,22,clean,"Lunenburg's representative and the Chair, Vice Chair, Secretary and District Treasurer are all identified. FY2021 prints the same committee at its p135 but in a badly OCR'd form.",committee district membership monty
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Vital records report 2022,TOWN CLERK / VITALS REPORT:,140,"Counts of births, deaths and marriages recorded by the Town Clerk in 2022.",One vital-record type.,(type) | (count),A single line of three label/value pairs.,"BIRTH - 104, DEATHS - 88, MARRIAGES - 44",3,clean,"The page prints the reason it is only counts: 'AT THE RECOMMENDATION OF THE REGISTRY OF VITAL RECORDS AND US DEPARTMENT OF STATE AND FOR THE SAFETY AND SECURITY OF THE RESIDENTS OF TOWN, NAMES OF INDIVIDUALS HAVE BEEN ELIMINATED AND INSTEAD THE NUMBER OF OCCURENCES OF EACH BIRTH, MARRIAGE AND DEATH ARE TOTALLED FOR THE YEAR.' That is a documented policy change - older reports listed individuals by name. The corresponding FY2021 page has no text layer and no OCR at all, so this is the only recoverable vitals figure across the two years. Note deaths (88) is double the cemetery interment count (44) - burials in town are not the same as residents dying.",records vital
